"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Polyommatus_femininoides,1.1,"" -q"",25,359.436144060095,0.8228,0.7601,11.0072,29.9187,5.5684,9.2975,14.1328,30.0754"
"Polyommatus_glaucias,1.4,"" -q"",14,557.371139049766,0.8031,0.73235,17.0598,15.5887,9.2308,38.3046,5.885,13.9311"
"Polyommatus_hamadanensis,0.8,"" -h"",8,860.488460840179,0.7604,0.7391,37.4005,22.5704,23.4013,0.9367,6.5829,9.1083"
"Polyommatus_icarus,1.1,"" -p -q"",47,5611.48909851983,0.7764,0.75135,15.8263,11.1854,46.8406,7.9045,6.4965,11.7467"
"Polyommatus_iphidamon,0.8,"" -h"",7,662.239908985026,0.9051,0.8387,4.3856,32.4932,23.0295,0.0045,23.0641,17.0232"
"Polyommatus_Iuna,0.7,""autofeature=true"",2.5,127.187510184273,0.8392,0.8976,8.1077,0,10.3736,0.0189,56.4125,25.0872"
"Polyommatus_karinda,1.4,"" -h -q"",3.5,370.540158162077,0.6809,0.7087,51.7376,6.0175,0,4.3471,32.0671,5.8307"
"Polyommatus_kendevani,0.5,"" -h"",5,283.923968243348,0.8653,0.78355,30.0496,35.5005,9.6498,1.6133,12.2962,10.8907"
"Polyommatus_khorasanensis,1.3,"" -h"",4.5,397.686911106102,0.7816,0.72215,11.575,9.8114,50.3992,6.4802,7.1883,14.5458"
"Polyommatus_lorestanus,0.8,"" -h"",7,732.195302936926,0.8213,0.80165,17.7994,48.6387,0.3614,21.0553,6.9993,5.1459"
"Polyommatus_marcida,1.4,""autofeature=true"",18.5,670.180253975913,0.7823,0.702,5.0225,14.1123,9.0055,25.2576,22.8001,23.8019"
"Polyommatus_mofidii,0.9,"" -q"",3.5,210.814251227409,0.87265,0.7392,10.4127,5.0976,30.68,9.7823,22.1994,21.828"
"Polyommatus_morgani,1.3,"" -h -q"",3,333.702087024334,0.70555,0.72795,22.741,26.5409,15.7767,10.1123,12.8043,12.0246"
"Polyommatus_musa,0.5,"" -h -q"",4,296.403513421813,0.8682,0.84695,6.7782,55.4227,3.7002,0.1963,6.7031,27.1995"
"Polyommatus_myrrha,1.2,""autofeature=true"",4,183.030534938971,0.82075,0.81565,19.2297,37.1695,13.8507,25.8894,0.0875,3.7733"
"Polyommatus_peilei,1,"" -h -q"",4,324.968737678842,0.80915,0.70255,2.329,76.7248,9.3969,0,2.8274,8.7219"
"Polyommatus_pfeifferi,0.7,"" -h"",6.5,398.355595933998,0.89265,0.866,65.3924,2.341,0,24.4365,4.3746,3.4555"
"Polyommatus_phyllides,1.4,""autofeature=true"",2.5,217.069050006968,0.7678,0.87105,25.2916,30.2353,18.9152,9.6224,15.8385,0.097"
"Polyommatus_phyllis,1.2,"" -h"",4.5,375.938101161787,0.7867,0.78365,2.2624,41.8432,16.7284,4.6544,1.8846,32.627"
"Polyommatus_pseudoxerxes,0.6,""autofeature=true"",38,281.469384120075,0.9767,0.9464,8.8476,42.8163,0.7102,3.4291,22.7305,21.4663"
"Polyommatus_ripartii,1.4,""autofeature=true"",3.5,185.59384660347,0.8618,0.87035,3.6487,14.7507,61.0581,0,4.781,15.7615"
"Polyommatus_rovshani,1.2,""autofeature=true"",3,222.642531124769,0.6941,0.7765,0.1191,0.2967,19.1613,45.4205,14.6612,10.3412"
"Polyommatus_sennanensis,1.5,"" -h"",6,513.287486324753,0.72695,0.7537,5.1208,49.9834,4.1729,5.1772,1.7488,33.7969"
"Polyommatus_shirkuhensis,1.3,"" -h"",4,306.331714545031,0.905,0.8899,0.0454,2.4675,0.5561,53.5849,2.4527,40.8934"
"Polyommatus_stempfferi,1.1,"" -h -q"",3,334.348064491676,0.81125,0.7509,25.0096,15.9704,32.9354,6.8384,1.1098,18.1364"
"Polyommatus_tenhageni,1.4,"" -h -q"",3,277.382610002167,0.71835,0.7024,39.8476,0.7226,10.1076,0.3869,30.9398,17.9955"
"Polyommatus_thersites,0.5,"" -h"",7.5,1169.08542403935,0.7581,0.7289,10.1968,55.8266,6.7841,0.3621,9.8285,17.002"
"Polyommatus_transcaspica,0.5,""autofeature=true"",5,203.468256339639,0.9418,0.95915,17.5248,24.2886,28.8174,0.875,24.749,3.7452"
