"Species","Regularization","Features","nParameters","AICc","Training.AUC","Test.AUC","bio13.contribution","bio14.contribution","bio5.contribution","bio6.contribution","bio7.contribution","topology.contribution"
"Hyponephele_naricina",0.5," threshold=false -h -q",5,1042.94648758889,0.7071,0.7158,11.8221,33.19,40.5246,4.4363,6.8346,3.1924
"Hyponephele_shirazica",1.2," -h -q",3,316.905820874775,0.8332,0.74075,5.3225,65.6032,19.5104,2.6092,0,6.9547
"Hyponephele_wagneri",0.6," threshold=false -h -q",10,1775.65821004731,0.7274,0.71665,8.6043,18.3613,7.5395,18.1713,30.3878,16.9358
"Hyrcanana_caspius",0.9," -h -q",4.5,378.232589051512,0.83815,0.7915,6.3161,13.0589,8.6104,0.1744,59.6416,12.1986
"Iolana_iolas",1.5," -h",5,598.234534151476,0.81245,0.73275,19.3728,30.8378,0.3135,0.6068,13.8896,34.9795
"Iphiclides_podalirius",1.4," -p -q",25.5,1622.57009200971,0.83395,0.78275,4.929,72.9712,6.9132,3.7222,5.832,5.6324
"Issoria_lathonia",1.1," -p -h",7,1275.74331940425,0.77075,0.7034,8.6372,23.4298,18.9882,0.1693,28.0937,20.6818
"Junonia_orithya",0.7," -h -q",5,1015.38015732829,0.74315,0.7584,15.3866,5.3071,24.7505,51.969,0.091,2.4957
"Kretania_eurypilus",0.9," threshold=false -h",15,3311.75483823643,0.74155,0.72295,4.8697,16.9578,23.9457,21.7733,11.7267,20.7267
"Kretania_zephyrinus",1.4," threshold=false -p -h",7,2070.21726839792,0.7634,0.7589,21.8391,11.1319,29.0752,1.5198,6.8095,29.6244
"Lachides_contracta",1," -h",6,669.533820624468,0.74265,0.7335,6.272,7.0378,1.4844,73.3171,4.4766,7.4121
"Lachides_galba",1," -h",5.5,298.161283074935,0.7408,0.7157,35.7749,30.8957,0.4056,15.1933,9.7663,7.9642
"Lampides_boeticus",0.5," -h",7,448.97951025803,0.82095,0.7587,9.143,64.7902,10.0925,3.8404,6.4885,5.6452
"Lasiommata_adrastoides",1.1," -h",3,361.847780719124,0.76215,0.7205,5.9659,0.0325,1.7842,29.9596,55.0242,7.2337
"Lasiommata_aegeria",1.4,"autofeature=true",2,130.671011094115,0.737,0.8805,0,10.4676,0,17.9147,41.7411,29.8766
"Lasiommata_maera",0.7," -h -q",4,368.722031530238,0.78705,0.74765,3.7654,3.6476,0.0386,17.1809,67.6375,7.73
"Lasiommata_megera",0.7," threshold=false -h",16,2173.57255338777,0.8066,0.76245,34.5109,5.3734,8.4884,22.559,6.5651,22.5032
"Lasiommata_menava",0.9," threshold=false -h",7,929.820728006,0.80005,0.74535,11.64,28.0151,7.8508,0.1171,11.6525,40.7244
"Leptidea_duponcheli",1.5," -q",17,722.161200866537,0.8547,0.7694,2.3852,52.4191,3.7703,10.0258,20.2529,11.1466
"Libythea_celtis",0.6," -h -q",4,286.510950856165,0.8015,0.79565,7.2328,1.9967,0.0345,9.3172,43.089,38.3298
"Limenitis_reducta",1.2," -p -h",7,1136.68811318477,0.7918,0.7302,57.5745,7.2553,0.8279,1.0594,25.9314,7.3516
"Lycaena_alciphron",0.5," threshold=false -p -h",7,905.776891102966,0.80665,0.80635,23.2087,35.8994,9.4118,5.4435,2.242,23.7947
"Lycaena_asabinus",1.1," -q",27.5,897.667858917556,0.80105,0.7215,27.5634,27.0787,20.3322,3.2731,0.6306,21.1219
"Lycaena_candens",1.2," -h",4,329.603282710033,0.84725,0.795,66.5267,8.1116,0.7853,16.79,3.0588,4.7276
"Lycaena_lampon",0.5," -p -h",8,1064.17600150637,0.79845,0.7171,7.2136,12.5787,10.7576,5.6872,8.8133,54.9497
"Lycaena_lamponides",1," -h -q",5,683.662497180713,0.73515,0.7071,4.3432,47.284,22.7895,0.3111,17.4428,7.8294
"Lycaena_ochimus",1.4," -h",6,831.525821515368,0.80705,0.7439,1.8187,17.8499,61.2573,0,4.5392,14.5349
"Lycaena_phlaeas",1," threshold=false -p -h",8.5,2424.0301657608,0.71775,0.7017,33.7641,14.2128,0.1852,2.3144,26.714,22.8095
"Lycaena_thersamon",1.5," -p",24.5,2413.32546082477,0.77175,0.73085,41.805,29.1877,5.0693,5.963,10.977,6.998
"Lycaena_thetis",0.6," -h",7,665.64849801087,0.8374,0.7736,7.639,47.0426,31.4065,0.3986,9.7319,3.7813
"Lycaena_tityrus",0.6," threshold=false -h",7.5,1004.64572398699,0.90295,0.91355,12.7328,46.4586,26.1611,0.9526,4.9276,8.7674
"Lysandra_bellargus",0.9," threshold=false -p -h",8,1985.85804601519,0.76565,0.7192,25.8978,21.6331,38.387,1.3247,9.0631,3.6943
"Lysandra_corydonius",0.8,"autofeature=true",2,147.65012329333,0.69675,0.8642,33.3272,4.8471,10.1135,8.869,15.7654,17.0778
"Maniola_jurtina",1.4," threshold=false -p -q",36.5,1832.84405169511,0.7806,0.7331,10.4586,45.3715,13.6646,15.4765,8.8585,6.1704
"Maniola_telmessia",0.8," threshold=false -p -h",7.5,828.613560968267,0.8372,0.7736,64.9942,3.4918,18.3747,0.2983,7.3956,5.4454
"Melanargia_evartianae",0.5," -h -q",5,602.791544777107,0.71265,0.72925,5.9535,6.9237,3.5381,13.731,14.0762,55.7775
"Melanargia_grumi",0.9," -q",2,149.553067463806,0.73455,0.78395,49.7472,0.0471,0.0049,12.7709,15.9787,21.4511
"Melanargia_hylata",0.8," -p -h",8,3031.6606630161,0.71615,0.7074,49.0906,16.3802,9.706,13.7117,2.7344,8.3771
"Melanargia_russiae",1.4," -h",4.5,343.204085838762,0.7621,0.72965,5.4467,34.456,6.426,0,48.1456,5.5257
"Melanargia_syriaca",0.7,"autofeature=true",4,222.195466222434,0.75385,0.71355,0.7901,31.1787,21.8299,28.8803,9.1717,8.1494
"Melanargia_teneates",1.4," -h",5,881.664236269732,0.75715,0.726,16.5884,15.6029,18.8327,0,30.6566,18.3195
"Melanargia_transcaspica",1," -h",6,733.584904543666,0.828,0.7969,8.6404,16.9372,51.8141,9.4208,2.1464,11.0411
"Melitaea_abbas",0.9," -h",8,807.517821270879,0.8155,0.7848,45.5877,26.2824,7.4718,1.118,8.1752,11.3649
