"species,""variable"",""moran"",""p_vlaue_M"",""Geary"",""p_vlaue_G"""
"Z_manlia,""bio13"",0.938183785522337,6.78779300962374e-10,0.0406359800072199,6.03699108311216e-10"
"Z_manlia,""bio14"",0.420158974370417,0.000135668816336395,0.441068248860883,9.04082381998521e-05"
"Z_manlia,""bio5"",0.588681174663595,2.12211256095196e-05,0.401510067114094,6.55619987891834e-05"
"Z_manlia,""bio6"",0.423169365766239,0.000724653577764957,0.468100904799371,0.000299973929217283"
"Z_manlia,""bio7"",0.932832642633513,9.27527457841685e-10,0.0456389906715522,7.63409282492471e-10"
"Z_nocturna,""bio13"",0.690794411554021,1.38751692663475e-09,0.305534572138407,2.81644895340151e-09"
"Z_nocturna,""bio14"",0.832068644310691,1.22904038068471e-13,0.154491667690292,5.90551531497221e-13"
"Z_nocturna,""bio5"",0.539122353284619,8.7662076660864e-07,0.473028020288824,4.77836166288775e-06"
"Z_nocturna,""bio6"",0.293164348274085,0.00354871161147375,0.695074325948824,0.00522690462844066"
"Z_nocturna,""bio7"",0.348253190666495,0.00081733209208287,0.621440235240673,0.00073994483394914"
"Z_pseudorubricundus,""bio13"",0.420709184074423,5.36449774827335e-05,0.528685383922631,3.44907948586607e-05"
"Z_pseudorubricundus,""bio14"",0.560970779133552,2.11731866897921e-07,0.429145970645876,7.17477458763488e-07"
"Z_pseudorubricundus,""bio5"",0.698022302214237,4.60525933348519e-10,0.290991627478749,1.07932326000752e-09"
"Z_pseudorubricundus,""bio6"",-0.143712741919638,0.837222276838394,1.10311137308838,0.808086226742812"
"Z_pseudorubricundus,""bio7"",0.518706699915102,2.45660367537153e-06,0.470445769141942,3.91315307040445e-06"
"Z_speciosa,""bio13"",0.429447798380601,0.000135557251644129,0.551821004665067,0.000342086327555971"
"Z_speciosa,""bio14"",0.552504954674287,3.58428138307763e-06,0.426728970559648,4.7763926292644e-06"
"Z_speciosa,""bio5"",0.371457247660139,0.000461128093786342,0.60674991971715,0.00185696829003756"
