genus,species,y,x,Endemic
Zygaenoprocris,Zygaenoprocris albertii,35.585419,58.537753,F
Zygaenoprocris,Zygaenoprocris mystrocera,35.635482,58.509194,F
Zygaena,Zygaena escalerai,30.721682,52.055297,F
Zygaena,Zygaena rosinae,30.705878,51.991917,F
Zygaena,Zygaena rosinae,30.721897,52.0088,F
Zygaena,Zygaena rosinae,30.729141,51.960609,F
Zygaena,Zygaena rosinae,30.729141,51.960609,F
Zygaena,Zygaena escalerai,30.729141,51.960609,F
Zygaena,Zygaena tamara,29.656716,52.468675,F
Zygaena,Zygaena haematina,29.656716,52.468675,F
Zygaena,Zygaena haematina,29.656716,52.468675,F
Zygaena,Zygaena fredi,29.229967,54.434538,T
Zygaena,Zygaena fredi,29.234247,54.416379,T
Zygaena,Zygaena chirazica,29.770897,52.32562,T
Jordanita,Jordanita anatolica,29.08112222,53.86737222,F
Zygaenoprocris,Zygaenoprocris persepolis,30.410881,51.896331,T
Zygaena,Zygaena seitzi,30.410881,51.896331,T
Zygaena,Zygaena haematina,30.410881,51.896331,F
Rhagades,Rhagades brandti,28.84038611,56.423225,T
Zygaena,Zygaena kermanensis,28.819975,56.37096111,T
Zygaenoprocris,Zygaenoprocris hasarani,29.048367,57.896716,T
Zygaena,Zygaena kermanensis,29.849962,56.092746,T
Zygaenoprocris,Zygaenoprocris puschmanni,31.53325278,51.60907222,T
Zygaena,Zygaena escalerai,32.997584,49.953337,F
Zygaena,Zygaena cambysea,30.410881,51.896331,F
Zygaena,Zygaena fredi,30.850348,51.452924,T
Zygaena,Zygaena haematina,33.334166,49.347926,F
Zygaena,Zygaena turkmenica,33.590344,51.037298,F
Zygaena,Zygaena fredi,32.1688,50.17753056,T
Zygaena,Zygaena nocturna,30.852105,51.479736,T
Zygaena,Zygaena cambysea,30.852105,51.479736,F
Rhagades,Rhagades brandti,30.86249167,51.48793889,T
Zygaena,Zygaena araxis,33.590344,51.037298,F
Rhagades,Rhagades tarmanni,30.86249167,51.48793889,T
Rhagades,Rhagades brandti,29.57,51.92,T
Zygaena,Zygaena kermanensis,31.61347,54.125975,T
Zygaena,Zygaena rosinae,33.590344,51.037298,F
Zygaenoprocris,Zygaenoprocris kliri,35.127309,50.979195,T
Zygaena,Zygaena kermanensis,31.784805,53.888717,T
Zygaena,Zygaena rosinae,33.590344,51.037298,F
Zygaena,Zygaena rosinae,33.590344,51.037298,F
Zygaenoprocris,Zygaenoprocris puschmanni,33.124888,50.429581,T
